Parent Lineage,Child Lineage,Embedding Distance,Fitness Difference
B.1.617.2,AY.1,1.0629258155822754,-0.04306311532855034
B.1.617.2,AY.2,3.2612357139587402,-0.20165130496025085
B.1.617.2,AY.3,2.292536973953247,0.034144748002290726
B.1.617.2,AY.5,2.292536973953247,0.023327670991420746
B.1.617.2,AY.13,2.099236488342285,-0.07091185450553894
B.1.617.2,AY.14,2.292536973953247,-0.04934531822800636
B.1.617.2,AY.20,0.9695054292678833,0.023001762107014656
B.1.617.2,AY.25,3.754596710205078,0.02992998994886875
B.1.617.2,AY.26,1.4804531335830688,-0.02478967420756817
B.1.617.2,AY.33,3.759503126144409,-0.016877781599760056
B.1.617.2,AY.35,2.989518642425537,-0.014511767774820328
B.1.617.2,AY.36,0.5425965189933777,0.03890610113739967
B.1.617.2,AY.37,1.495884656906128,-0.05693347752094269
B.1.617.2,AY.39,0.45581042766571045,0.03108973056077957
B.1.617.2,AY.43,2.292536973953247,0.08929058164358139
B.1.617.2,AY.44,3.760162591934204,0.033329203724861145
B.1.617.2,AY.47,0.952460765838623,-0.017333196476101875
B.1.617.2,AY.54,2.695340394973755,-0.03744138777256012
B.1.617.2,AY.62,3.439640998840332,-0.15003813803195953
B.1.617.2,AY.64,1.614773154258728,-0.035210058093070984
B.1.617.2,AY.67,2.7669053077697754,-0.12476646900177002
B.1.617.2,AY.75,1.3941243886947632,-0.0436030812561512
B.1.617.2,AY.98,2.292536973953247,
B.1.617.2,AY.103,2.317464828491211,0.04945077747106552
B.1.617.2,AY.107,1.845401644706726,0.058061566203832626
B.1.617.2,AY.117,1.1633274555206299,0.08182039111852646
B.1.617.2,AY.118,0.5733041167259216,0.014431974850594997
B.1.617.2,AY.119,0.6351286172866821,0.0457710437476635
B.1.617.2,AY.121,1.9282550811767578,0.20506948232650757
B.1.617.2,AY.122,2.4298582077026367,0.025894077494740486
B.1.617.2,AY.125,2.5625991821289062,0.08637543767690659
