Parent Lineage,Child Lineage,Embedding Distance,Fitness Difference
B.1.617.2,AY.2,1.6088171005249023,0.30355936
B.1.617.2,AY.3,1.9874821901321411,0.3130032
B.1.617.2,AY.13,0.8022292256355286,0.15552983
B.1.617.2,AY.14,1.9616833925247192,0.23389593
B.1.617.2,AY.25,2.0278873443603516,0.22102061
B.1.617.2,AY.26,1.893438458442688,0.2160449
B.1.617.2,AY.39,2.3465592861175537,0.23407714
B.1.617.2,AY.44,1.9874821901321411,0.23529072
B.1.617.2,AY.47,1.7191357612609863,0.4699243
B.1.617.2,AY.54,1.9874821901321411,0.46696135
B.1.617.2,AY.75,1.191026210784912,0.24345997
B.1.617.2,AY.103,0.8022292256355286,0.3464102
B.1.617.2,AY.117,2.3465592861175537,0.1298565
B.1.617.2,AY.122,0.8022292256355286,0.14486916
