Parent Lineage,Child Lineage,Levenshtein Distance,Fitness Difference
B.1.617.2,AY.1,6,-0.003180728992447257
B.1.617.2,AY.2,4,-0.19144871830940247
B.1.617.2,AY.3,1,0.05044587329030037
B.1.617.2,AY.4,2,0.03613919019699097
B.1.617.2,AY.5,1,-0.01760001666843891
B.1.617.2,AY.13,4,-0.1121293306350708
B.1.617.2,AY.14,2,-0.08910195529460907
B.1.617.2,AY.20,4,0.03610480949282646
B.1.617.2,AY.25,2,0.040696289390325546
B.1.617.2,AY.26,3,0.006539374589920044
B.1.617.2,AY.33,6,0.15850329399108887
B.1.617.2,AY.35,3,-0.13267134130001068
B.1.617.2,AY.37,4,0.03587573766708374
B.1.617.2,AY.39,2,0.053750865161418915
B.1.617.2,AY.43,1,0.08334670960903168
B.1.617.2,AY.44,1,0.006287792231887579
B.1.617.2,AY.47,3,0.03431639447808266
B.1.617.2,AY.48,3,-0.11823777109384537
B.1.617.2,AY.52,2,-0.18646742403507233
B.1.617.2,AY.54,2,-0.04873727634549141
B.1.617.2,AY.62,3,-0.0689258798956871
B.1.617.2,AY.64,8,-0.048187147825956345
B.1.617.2,AY.67,4,-0.11265741288661957
B.1.617.2,AY.75,2,-0.027069494128227234
B.1.617.2,AY.98,1,
B.1.617.2,AY.100,2,0.12737922370433807
B.1.617.2,AY.103,1,0.06612629443407059
B.1.617.2,AY.107,3,0.030880196020007133
B.1.617.2,AY.110,3,-0.05162470415234566
B.1.617.2,AY.113,3,0.15286000072956085
B.1.617.2,AY.114,2,0.016130540519952774
B.1.617.2,AY.117,4,0.04501394182443619
B.1.617.2,AY.118,2,0.027102945372462273
B.1.617.2,AY.119,3,0.030013402923941612
B.1.617.2,AY.122,2,0.008355659432709217
