Parent Lineage,Child Lineage,Embedding Distance,Fitness Difference
BA.5.2.1,BF.1,0.6316180229187012,
BA.5.2.1,BF.10,0.8398385047912598,0.07291125506162643
BA.5.2.1,BF.11,0.6132746338844299,0.12306912988424301
BA.5.2.1,BF.13,0.569782018661499,0.09955726563930511
BA.5.2.1,BF.14,0.5521188378334045,0.14361511170864105
BA.5.2.1,BF.21,1.0934449434280396,
BA.5.2.1,BF.26,0.8322062492370605,0.07688359171152115
BA.5.2.1,BF.27,0.7488418221473694,-0.010051830671727657
BA.5.2.1,BF.4,0.6639609336853027,
BA.5.2.1,BF.5,0.9513530135154724,0.006374620832502842
BA.5.2.1,BF.7,0.6132746338844299,0.14563091099262238
